codigo;nombre_cruce;tramo;sentido;desde;hasta;latitud;longitud
2023_754; Av. NUESTRA SENORA DE VALVANERA;La Laguna-Los Carmenes (Gt¦.);La Laguna;16/11/2023;22/11/2023;40.394.780;-3.742.780
2023_755; Av. NUESTRA SENORA DE VALVANERA;La Laguna-Los Carmenes (Gt¦.);Los Carmenes (Gt¦.);17/11/2023;23/11/2023;40.394.760;-3.742.800
2023_756; C. NUESTRA SENORA DE VALVERDE;Alonso Quijano-Monasterio de Arlanza;Alonso Quijano;17/11/2023;23/11/2023;40.506.290;-3.685.340
2023_757;Avenida de Santuario de Valverde;MONASTERIO DE ARLANZA-COLEGIATA DE CERVATOS;MONASTERIO DE ARLANZA;17/11/2023;23/11/2023;40.511.665;-3.693.409
2023_762;C. OCA;General Ricardos-Avenida Nuestra Senora de Valvanera;Avenida Nuestra Senora de Valvanera;17/11/2023;23/11/2023;40.388.790;-3.732.250
2023_763;C. OCA;General Ricardos-Avenida Nuestra Senora de Valvanera;General Ricardos;17/11/2023;23/11/2023;40.388.610;-3.732.300
2023_764; C. OCANA;Camarena-Nuestra Senora de la Luz;Camarena;21/11/2023;27/11/2023;40.386.200;-3.752.840
2023_765; C. OCANA;Nuestra Senora de la Luz-Illescas;Nuestra Senora de la Luz;17/11/2023;23/11/2023;40.389.030;-3.752.080
2023_775; Av. DE LA OSA MAYOR;Paseo de la Ermita;Paseo de la Ermita;17/11/2023;23/11/2023;40.459.067;-3.782.617
2023_776;AV. PABLO IGLESIAS;Marques De Lema - Paseo San Francisco De Sales;Paseo San Francisco De Sales;17/05/2023;23/05/2023;40.445.510;-3.707.060
2023_777;AV. PABLO IGLESIAS;Marques De Lema - Paseo San Francisco De Sales;Marques De Lema;17/05/2023;23/05/2023;40.445.550;-3.707.100
2023_789;avda palomeras;entre javier de miguel y rafael narciso;Javier de miguel;15/04/2023;21/04/2023;40.387.553;-3.655.873
2023_790;avda palomeras;entre javier de miguel y rafael narciso;rafael narciso;08/04/2023;14/04/2023;40.387.675;-3.656.610
2023_791;C. PALOS DE LA FRONTERA;Las Delicias(Pso) - Batalla Del Salado;Batalla Del Salado;27/10/2023;02/11/2023;40.403.120;-3.694.450
2023_800;PEDRO LABORDE;ENTRE AVDA PALOMERAS Y ARROYO DEL OLIVAR;AVDA PALOMERAS;15/09/2023;21/09/2023;40.387.397;-3.649.117
2023_807;AV PESETA;C MARAVEDI-C LUIS DE ORO;C MARAVEDI;17/11/2023;23/11/2023;40.363.115;-3.746.905
2023_808; Av. PESETA;C MARAVEDI-C LUIS DE ORO;C LUIS DE ORO;22/11/2023;28/11/2023;40.362.920;-3.746.830
2023_826; Av. POBLADOS M-401;Luis Chamizo-Rafael Finat;Luis Chamizo;16/11/2023;22/11/2023;40.386.360;-3.762.960
2023_827; Av. POBLADOS M-401;Luis Chamizo-Rafael Finat;Rafael Finat;17/11/2023;23/11/2023;40.386.400;-3.762.920
2023_828; Av. POBLADOS, LOS M-401;Camino Rio-Avenida Orcasur;Avenida Orcasur;23/11/2023;29/11/2023;40.370.990;-3.701.670
2023_829;Av. POBLADOS, LOS M-401;Camino Rio-Avenida Orcasur;Camino Rio;23/11/2023;29/11/2023;40.371.128;-3.701.444
2023_830;#¿NOMBRE?;Carranque-Polan;Carranque;23/11/2023;29/11/2023;40.373.371;-3.726.837
2023_831;#¿NOMBRE?;Carranque-Polan;Polan;23/11/2023;29/11/2023;40.373.183;-3.726.833
2023_842;PTE. PONTON DE SAN ISIDRO;Ermita Del Santo - Los Pontones;Ermita Del Santo;02/11/2023;08/11/2023;40.404.091;-3.720.629
